locus_tag	ftype	length_bp	gene	EC_number	COG	product
KNJFBCIG_00001	CDS	1794				hypothetical protein
KNJFBCIG_00002	CDS	300				hypothetical protein
KNJFBCIG_00003	CDS	1239	tyrS_1	6.1.1.1	COG0162	Tyrosine--tRNA ligase
KNJFBCIG_00004	CDS	1257	nicP_1			Porin-like protein NicP
KNJFBCIG_00005	CDS	1209	bcr_1			Bicyclomycin resistance protein
KNJFBCIG_00006	CDS	423	farR			HTH-type transcriptional regulator FarR
KNJFBCIG_00007	CDS	243				hypothetical protein
KNJFBCIG_00008	CDS	1428	ccoN1_1	1.9.3.1	COG3278	Cbb3-type cytochrome c oxidase subunit CcoN1
KNJFBCIG_00009	CDS	1503	norG_1		COG1167	HTH-type transcriptional regulator NorG
KNJFBCIG_00010	CDS	1431				hypothetical protein
KNJFBCIG_00011	CDS	1674	sir_1	1.8.7.1	COG0155	Sulfite reductase [ferredoxin]
KNJFBCIG_00012	CDS	489				hypothetical protein
KNJFBCIG_00013	CDS	807	hpcH	4.1.2.52	COG3836	4-hydroxy-2-oxo-heptane-1,7-dioate aldolase
KNJFBCIG_00014	CDS	804	hpcG	4.2.1.163		2-oxo-hept-4-ene-1,7-dioate hydratase
KNJFBCIG_00015	CDS	1305	nicT			Putative metabolite transport protein NicT
KNJFBCIG_00016	CDS	393	hpcD_1	5.3.3.10		5-carboxymethyl-2-hydroxymuconate Delta-isomerase
KNJFBCIG_00017	CDS	924	hpcB	1.13.11.15	COG3384	3,4-dihydroxyphenylacetate 2,3-dioxygenase
KNJFBCIG_00018	CDS	1461	betB_1	1.2.1.8	COG1012	NAD/NADP-dependent betaine aldehyde dehydrogenase
KNJFBCIG_00019	CDS	780	hpcE_1		COG0179	Homoprotocatechuate catabolism bifunctional isomerase/decarboxylase
KNJFBCIG_00020	CDS	660	hpcE_2		COG0179	Homoprotocatechuate catabolism bifunctional isomerase/decarboxylase
KNJFBCIG_00021	CDS	912				hypothetical protein
KNJFBCIG_00022	CDS	807	neo	2.7.1.95		Aminoglycoside 3'-phosphotransferase
KNJFBCIG_00023	CDS	570				hypothetical protein
KNJFBCIG_00024	CDS	2187	bphP	2.7.13.3		Bacteriophytochrome
KNJFBCIG_00025	CDS	588				hypothetical protein
KNJFBCIG_00026	CDS	1386	ppnN	3.2.2.-	COG1611	Pyrimidine/purine nucleotide 5'-monophosphate nucleosidase
KNJFBCIG_00027	CDS	510				hypothetical protein
KNJFBCIG_00028	CDS	1191	sotB_1			Sugar efflux transporter B
KNJFBCIG_00029	CDS	4254	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
KNJFBCIG_00030	CDS	399				hypothetical protein
KNJFBCIG_00031	CDS	1194	ampC	3.5.2.6	COG1680	Beta-lactamase
KNJFBCIG_00032	CDS	891	ampR			HTH-type transcriptional activator AmpR
KNJFBCIG_00033	CDS	222				hypothetical protein
KNJFBCIG_00034	CDS	1245		3.1.4.-	COG2206	Cyclic di-GMP phosphodiesterase
KNJFBCIG_00035	CDS	876	gltR_1		COG0583	HTH-type transcriptional regulator GltR
KNJFBCIG_00036	CDS	753	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
KNJFBCIG_00037	CDS	1743	alkJ_1	1.1.99.-		Alcohol dehydrogenase [acceptor]
KNJFBCIG_00038	CDS	1305	oprB_1		COG3659	Porin B
KNJFBCIG_00039	CDS	726	kduD	1.1.1.127		2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase
KNJFBCIG_00040	CDS	1059	gutB	1.1.1.-	COG1063	Sorbitol dehydrogenase
KNJFBCIG_00041	CDS	1260	exuT_1			Hexuronate transporter
KNJFBCIG_00042	CDS	534				hypothetical protein
KNJFBCIG_00043	CDS	960	nphR			Transcriptional activator NphR
KNJFBCIG_00044	CDS	417				hypothetical protein
KNJFBCIG_00045	CDS	513	hpaC	1.5.1.37	COG1853	4-hydroxyphenylacetate 3-monooxygenase reductase component
KNJFBCIG_00046	CDS	1563	hpaB_1	1.14.14.9	COG2368	4-hydroxyphenylacetate 3-monooxygenase oxygenase component
KNJFBCIG_00047	CDS	291				hypothetical protein
