locus_tag	ftype	length_bp	gene	EC_number	COG	product
BBBLGCKP_00001	CDS	1407	narK		COG2223	Nitrate/nitrite transporter NarK
BBBLGCKP_00002	CDS	3786	narG	1.7.5.1	COG5013	Respiratory nitrate reductase 1 alpha chain
BBBLGCKP_00003	CDS	1542	narY	1.7.5.1	COG1140	Respiratory nitrate reductase 2 beta chain
BBBLGCKP_00004	CDS	741	narW		COG2180	putative nitrate reductase molybdenum cofactor assembly chaperone NarW
BBBLGCKP_00005	CDS	684	narV	1.7.5.1	COG2181	Respiratory nitrate reductase 2 gamma chain
BBBLGCKP_00006	CDS	819	surA_1	5.2.1.8		Chaperone SurA
BBBLGCKP_00007	CDS	990	moaA_1	4.1.99.22		GTP 3',8-cyclase
BBBLGCKP_00008	CDS	792	argT_1		COG0834	Lysine/arginine/ornithine-binding periplasmic protein
BBBLGCKP_00009	CDS	633	dauR		COG2964	Transcriptional regulator DauR
BBBLGCKP_00010	CDS	1128	dauA	1.4.99.6		FAD-dependent catabolic D-arginine dehydrogenase DauA
BBBLGCKP_00011	CDS	948	dauB	1.4.1.25	COG2423	NAD(P)H-dependent anabolic L-arginine dehydrogenase DauB
BBBLGCKP_00012	CDS	1572	rhlB	3.6.4.13		ATP-dependent RNA helicase RhlB
BBBLGCKP_00013	CDS	1899	lcfB	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
BBBLGCKP_00014	CDS	648	estB_1	3.1.1.1	COG0400	Carboxylesterase 2
BBBLGCKP_00015	CDS	1026	yhdW			Putative amino-acid ABC transporter-binding protein YhdW
BBBLGCKP_00016	CDS	699	pcs	2.7.8.24	COG1183	Phosphatidylcholine synthase
BBBLGCKP_00017	CDS	483				hypothetical protein
BBBLGCKP_00018	CDS	702				hypothetical protein
BBBLGCKP_00019	CDS	315				hypothetical protein
BBBLGCKP_00020	CDS	690	dapH	2.3.1.89		2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase
BBBLGCKP_00021	CDS	936				hypothetical protein
BBBLGCKP_00022	CDS	753				hypothetical protein
BBBLGCKP_00023	CDS	912				hypothetical protein
BBBLGCKP_00024	CDS	1005	yejK_1		COG3081	Nucleoid-associated protein YejK
BBBLGCKP_00025	CDS	1356				hypothetical protein
BBBLGCKP_00026	CDS	471				hypothetical protein
BBBLGCKP_00027	CDS	543				hypothetical protein
BBBLGCKP_00028	CDS	897	gcvA_1			Glycine cleavage system transcriptional activator
BBBLGCKP_00029	CDS	612				hypothetical protein
BBBLGCKP_00030	CDS	123				hypothetical protein
BBBLGCKP_00031	CDS	351	yerA			YopE regulator
BBBLGCKP_00032	CDS	1362				hypothetical protein
BBBLGCKP_00033	CDS	1011	rlmF	2.1.1.181	COG3129	Ribosomal RNA large subunit methyltransferase F
BBBLGCKP_00034	CDS	1833				hypothetical protein
BBBLGCKP_00035	CDS	795	ecfA2	3.6.3.-	COG1122	Energy-coupling factor transporter ATP-binding protein EcfA2
BBBLGCKP_00036	CDS	891				hypothetical protein
BBBLGCKP_00037	CDS	978				hypothetical protein
BBBLGCKP_00038	CDS	6720				hypothetical protein
BBBLGCKP_00039	CDS	351				hypothetical protein
BBBLGCKP_00040	CDS	2853	valS	6.1.1.9	COG0525	Valine--tRNA ligase
BBBLGCKP_00041	CDS	369				hypothetical protein
BBBLGCKP_00042	CDS	429	holC	2.7.7.7	COG2927	DNA polymerase III subunit chi
BBBLGCKP_00043	CDS	1488	pepA	3.4.11.1	COG0260	Cytosol aminopeptidase
BBBLGCKP_00044	CDS	813	nimR_1			HTH-type transcriptional regulator NimR
BBBLGCKP_00045	CDS	924	aidA			Quorum-quenching protein AidA
BBBLGCKP_00046	CDS	1119	lptF		COG0795	Lipopolysaccharide export system permease protein LptF
BBBLGCKP_00047	CDS	1068	lptG		COG0795	Lipopolysaccharide export system permease protein LptG
BBBLGCKP_00048	CDS	498				hypothetical protein
BBBLGCKP_00049	CDS	1425	pdeG	3.1.4.52		putative cyclic di-GMP phosphodiesterase PdeG
BBBLGCKP_00050	CDS	225				hypothetical protein
BBBLGCKP_00051	CDS	285				hypothetical protein
BBBLGCKP_00052	CDS	1152				hypothetical protein
BBBLGCKP_00053	CDS	2208				hypothetical protein
BBBLGCKP_00054	CDS	219				hypothetical protein
BBBLGCKP_00055	CDS	240				hypothetical protein
BBBLGCKP_00056	CDS	822				hypothetical protein
BBBLGCKP_00057	CDS	1704				hypothetical protein
BBBLGCKP_00058	CDS	924				hypothetical protein
BBBLGCKP_00059	CDS	957				hypothetical protein
BBBLGCKP_00060	CDS	3585				hypothetical protein
BBBLGCKP_00061	CDS	483				hypothetical protein
BBBLGCKP_00062	CDS	741				hypothetical protein
BBBLGCKP_00063	CDS	204				hypothetical protein
BBBLGCKP_00064	CDS	453				hypothetical protein
BBBLGCKP_00065	CDS	516				hypothetical protein
BBBLGCKP_00066	CDS	897				hypothetical protein
BBBLGCKP_00067	CDS	405				hypothetical protein
BBBLGCKP_00068	CDS	1110				hypothetical protein
BBBLGCKP_00069	CDS	576				hypothetical protein
BBBLGCKP_00070	CDS	1239				hypothetical protein
BBBLGCKP_00071	CDS	1587				hypothetical protein
BBBLGCKP_00072	CDS	1674				hypothetical protein
BBBLGCKP_00073	CDS	549				hypothetical protein
BBBLGCKP_00074	CDS	303				hypothetical protein
BBBLGCKP_00075	CDS	321				hypothetical protein
BBBLGCKP_00076	CDS	624				hypothetical protein
BBBLGCKP_00077	CDS	630	mltF_1	4.2.2.-		Membrane-bound lytic murein transglycosylase F
BBBLGCKP_00078	CDS	159				hypothetical protein
BBBLGCKP_00079	CDS	297				hypothetical protein
BBBLGCKP_00080	CDS	375				hypothetical protein
BBBLGCKP_00081	CDS	498				hypothetical protein
BBBLGCKP_00082	CDS	372				hypothetical protein
BBBLGCKP_00083	CDS	231				hypothetical protein
BBBLGCKP_00084	CDS	489				hypothetical protein
BBBLGCKP_00085	CDS	261				hypothetical protein
BBBLGCKP_00086	CDS	315				hypothetical protein
BBBLGCKP_00087	CDS	978				hypothetical protein
BBBLGCKP_00088	CDS	1785				hypothetical protein
BBBLGCKP_00089	CDS	1167				hypothetical protein
BBBLGCKP_00090	CDS	342				hypothetical protein
BBBLGCKP_00091	CDS	285				hypothetical protein
BBBLGCKP_00092	CDS	681				hypothetical protein
BBBLGCKP_00093	CDS	534				hypothetical protein
BBBLGCKP_00094	CDS	201				hypothetical protein
BBBLGCKP_00095	CDS	624				hypothetical protein
BBBLGCKP_00096	CDS	690				hypothetical protein
BBBLGCKP_00097	CDS	192				hypothetical protein
BBBLGCKP_00098	CDS	468				hypothetical protein
BBBLGCKP_00099	CDS	567				hypothetical protein
BBBLGCKP_00100	CDS	549				hypothetical protein
BBBLGCKP_00101	CDS	369				hypothetical protein
BBBLGCKP_00102	tRNA	87				tRNA-Leu(caa)
BBBLGCKP_00103	CDS	1044	queA	2.4.99.17	COG0809	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
BBBLGCKP_00104	CDS	1128	tgt	2.4.2.29	COG0343	Queuine tRNA-ribosyltransferase
BBBLGCKP_00105	CDS	339	yajC		COG1862	Sec translocon accessory complex subunit YajC
BBBLGCKP_00106	CDS	1863	secD_1		COG0342	Protein translocase subunit SecD
BBBLGCKP_00107	CDS	921	secF		COG0341	Protein translocase subunit SecF
BBBLGCKP_00108	CDS	549				hypothetical protein
BBBLGCKP_00109	CDS	816	suhB	3.1.3.25	COG0483	Inositol-1-monophosphatase
BBBLGCKP_00110	CDS	774	trmJ	2.1.1.-		tRNA (cytidine/uridine/adenosine-2'-O-)-methyltransferase TrmJ
BBBLGCKP_00111	CDS	777	cysE	2.3.1.30	COG1045	Serine acetyltransferase
BBBLGCKP_00112	CDS	492	iscR		COG1959	HTH-type transcriptional regulator IscR
BBBLGCKP_00113	CDS	1215	iscS_1	2.8.1.7	COG1104	Cysteine desulfurase IscS
BBBLGCKP_00114	CDS	387	iscU		COG0822	Iron-sulfur cluster assembly scaffold protein IscU
BBBLGCKP_00115	CDS	324	iscA		COG0316	Iron-binding protein IscA
BBBLGCKP_00116	CDS	522	hscB		COG1076	Co-chaperone protein HscB 
BBBLGCKP_00117	CDS	1860	hscA		COG0443	Chaperone protein HscA
BBBLGCKP_00118	CDS	339	fdx_1		COG0633	2Fe-2S ferredoxin
BBBLGCKP_00119	CDS	201	iscX		COG2975	Protein IscX
BBBLGCKP_00120	CDS	432	ndk	2.7.4.6	COG0105	Nucleoside diphosphate kinase
BBBLGCKP_00121	CDS	1140	rlmN_1	2.1.1.192	COG0820	Dual-specificity RNA methyltransferase RlmN
BBBLGCKP_00122	CDS	759				hypothetical protein
BBBLGCKP_00123	CDS	1044	rodZ		COG1426	Cytoskeleton protein RodZ
BBBLGCKP_00124	CDS	1116	ispG	1.17.7.3	COG0821	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)
BBBLGCKP_00125	CDS	1290	hisS	6.1.1.21	COG0124	Histidine--tRNA ligase
BBBLGCKP_00126	CDS	645				hypothetical protein
BBBLGCKP_00127	CDS	1143	bamB		COG1520	Outer membrane protein assembly factor BamB
BBBLGCKP_00128	CDS	1482	der		COG1160	GTPase Der
BBBLGCKP_00129	CDS	1149	ybdL	2.6.1.88	COG0436	Methionine aminotransferase
BBBLGCKP_00130	CDS	795	yafV_1	3.5.1.3		Omega-amidase YafV
BBBLGCKP_00131	CDS	588				hypothetical protein
BBBLGCKP_00132	CDS	951	yajO_1	1.1.-.-	COG0667	1-deoxyxylulose-5-phosphate synthase YajO
BBBLGCKP_00133	CDS	456				hypothetical protein
BBBLGCKP_00134	CDS	333				hypothetical protein
BBBLGCKP_00135	CDS	1671	leuA	2.3.3.13	COG0119	2-isopropylmalate synthase
BBBLGCKP_00136	CDS	462				hypothetical protein
BBBLGCKP_00137	CDS	2160	btuB_1			Vitamin B12 transporter BtuB
BBBLGCKP_00138	CDS	1416				hypothetical protein
BBBLGCKP_00139	CDS	396				hypothetical protein
BBBLGCKP_00140	CDS	849				hypothetical protein
BBBLGCKP_00141	CDS	390				hypothetical protein
BBBLGCKP_00142	CDS	477				hypothetical protein
BBBLGCKP_00143	CDS	573				hypothetical protein
BBBLGCKP_00144	CDS	630	rutB_1	3.5.1.110		Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB
BBBLGCKP_00145	CDS	954	cdhR_1		COG4977	HTH-type transcriptional regulator CdhR
BBBLGCKP_00146	CDS	762	ddpX	3.4.13.22		D-alanyl-D-alanine dipeptidase
BBBLGCKP_00147	CDS	1281	siaM		COG1593	Sialic acid TRAP transporter large permease protein SiaM
BBBLGCKP_00148	CDS	495				hypothetical protein
BBBLGCKP_00149	CDS	1041				hypothetical protein
BBBLGCKP_00150	CDS	936	cynR_1			HTH-type transcriptional regulator CynR
BBBLGCKP_00151	CDS	1380	xseA	3.1.11.6	COG1570	Exodeoxyribonuclease 7 large subunit
BBBLGCKP_00152	CDS	909	hcaR_1			Hca operon transcriptional activator HcaR
BBBLGCKP_00153	CDS	783				hypothetical protein
BBBLGCKP_00154	CDS	1143		3.5.1.-	COG0123	Histone deacetylase-like amidohydrolase
BBBLGCKP_00155	CDS	1158				hypothetical protein
BBBLGCKP_00156	CDS	897				hypothetical protein
BBBLGCKP_00157	CDS	978				hypothetical protein
