locus_tag	ftype	length_bp	gene	EC_number	COG	product
FEOJADHP_00001	CDS	1200	tyrS_1	6.1.1.1	COG0162	Tyrosine--tRNA ligase
FEOJADHP_00002	CDS	1440	mepM	3.4.24.-	COG0739	Murein DD-endopeptidase MepM
FEOJADHP_00003	CDS	1092	anmK	2.7.1.170	COG2377	Anhydro-N-acetylmuramic acid kinase
FEOJADHP_00004	CDS	351	erpA		COG0316	Iron-sulfur cluster insertion protein ErpA
FEOJADHP_00005	CDS	414				hypothetical protein
FEOJADHP_00006	CDS	720				hypothetical protein
FEOJADHP_00007	CDS	1035	argC	1.2.1.38	COG0002	N-acetyl-gamma-glutamyl-phosphate reductase
FEOJADHP_00008	CDS	423				hypothetical protein
FEOJADHP_00009	CDS	969				hypothetical protein
FEOJADHP_00010	CDS	1077				hypothetical protein
FEOJADHP_00011	CDS	801				hypothetical protein
FEOJADHP_00012	CDS	1482	ftsH_1	3.4.24.-		ATP-dependent zinc metalloprotease FtsH
FEOJADHP_00013	CDS	339		3.9.1.-	COG0537	Purine nucleoside phosphoramidase
FEOJADHP_00014	CDS	648	coq7	1.14.99.60	COG2941	3-demethoxyubiquinol 3-hydroxylase
FEOJADHP_00015	CDS	795	speD	4.1.1.50	COG1586	S-adenosylmethionine decarboxylase proenzyme
FEOJADHP_00016	CDS	423	yhfA		COG1765	Protein YhfA
FEOJADHP_00017	CDS	645	vfr		COG0664	Cyclic AMP receptor-like protein
FEOJADHP_00018	CDS	837	trpC	4.1.1.48		Indole-3-glycerol phosphate synthase
FEOJADHP_00019	CDS	1050	trpD_1	2.4.2.18	COG0547	Anthranilate phosphoribosyltransferase
FEOJADHP_00020	CDS	606	trpG_1	4.1.3.27	COG0512	Anthranilate synthase component 2
FEOJADHP_00021	CDS	258				hypothetical protein
FEOJADHP_00022	CDS	363				hypothetical protein
FEOJADHP_00023	CDS	630				hypothetical protein
FEOJADHP_00024	CDS	990				hypothetical protein
FEOJADHP_00025	CDS	207				hypothetical protein
FEOJADHP_00026	CDS	873				hypothetical protein
FEOJADHP_00027	CDS	2238				hypothetical protein
FEOJADHP_00028	CDS	345				hypothetical protein
FEOJADHP_00029	CDS	504				hypothetical protein
FEOJADHP_00030	CDS	1161	gpFI			Putative prophage major tail sheath protein
FEOJADHP_00031	CDS	441				hypothetical protein
FEOJADHP_00032	CDS	2109				hypothetical protein
FEOJADHP_00033	CDS	534				hypothetical protein
FEOJADHP_00034	CDS	888				hypothetical protein
FEOJADHP_00035	CDS	327				hypothetical protein
FEOJADHP_00036	CDS	558				hypothetical protein
FEOJADHP_00037	CDS	516				hypothetical protein
FEOJADHP_00038	CDS	354				hypothetical protein
FEOJADHP_00039	CDS	360				hypothetical protein
FEOJADHP_00040	CDS	201				hypothetical protein
FEOJADHP_00041	CDS	171				hypothetical protein
FEOJADHP_00042	CDS	771	prtR_1		COG2932	HTH-type transcriptional regulator PrtR
FEOJADHP_00043	CDS	315				hypothetical protein
FEOJADHP_00044	CDS	1479	trpE	4.1.3.27	COG0147	Anthranilate synthase component 1
FEOJADHP_00045	CDS	819	gph	3.1.3.18		Phosphoglycolate phosphatase
FEOJADHP_00046	CDS	675	rpe	5.1.3.1	COG0036	Ribulose-phosphate 3-epimerase
FEOJADHP_00047	CDS	831	ydcV_1			Inner membrane ABC transporter permease protein YdcV
FEOJADHP_00048	CDS	1248				hypothetical protein
FEOJADHP_00049	CDS	1047	potD_1		COG0687	Spermidine/putrescine-binding periplasmic protein
FEOJADHP_00050	CDS	1110	potA_1	7.6.2.11	COG3842	Spermidine/putrescine import ATP-binding protein PotA
FEOJADHP_00051	CDS	1035	potD_2		COG0687	Spermidine/putrescine-binding periplasmic protein
FEOJADHP_00052	CDS	633	uvrY		COG2197	Response regulator UvrY
FEOJADHP_00053	CDS	2394	mltF_1	4.2.2.-		Membrane-bound lytic murein transglycosylase F
FEOJADHP_00054	CDS	1062				hypothetical protein
FEOJADHP_00055	CDS	759	djlA		COG1076	Co-chaperone protein DjlA
FEOJADHP_00056	CDS	675	murU	2.7.7.99	COG1208	N-acetylmuramate alpha-1-phosphate uridylyltransferase
FEOJADHP_00057	CDS	1017	amgK	2.7.1.221	COG3178	N-acetylmuramate/N-acetylglucosamine kinase
FEOJADHP_00058	CDS	135				hypothetical protein
FEOJADHP_00059	CDS	1311				hypothetical protein
FEOJADHP_00060	CDS	2772	lptD		COG1452	LPS-assembly protein LptD
FEOJADHP_00061	CDS	1293	surA_1	5.2.1.8	COG0760	Chaperone SurA
FEOJADHP_00062	CDS	987	pdxA	1.1.1.262	COG1995	4-hydroxythreonine-4-phosphate dehydrogenase
FEOJADHP_00063	CDS	807	rsmA	2.1.1.182	COG0030	Ribosomal RNA small subunit methyltransferase A
FEOJADHP_00064	CDS	381	apaG		COG2967	Protein ApaG
FEOJADHP_00065	CDS	852	apaH_1	3.6.1.41	COG0639	Bis(5'-nucleosyl)-tetraphosphatase, symmetrical
FEOJADHP_00066	CDS	333	glpE_1	2.8.1.1	COG0607	Thiosulfate sulfurtransferase GlpE
FEOJADHP_00067	CDS	1923				hypothetical protein
FEOJADHP_00068	CDS	1272				hypothetical protein
FEOJADHP_00069	CDS	1554				hypothetical protein
FEOJADHP_00070	CDS	507				hypothetical protein
FEOJADHP_00071	CDS	1233	cca		COG0617	Multifunctional CCA protein
FEOJADHP_00072	CDS	543				hypothetical protein
