locus_tag	ftype	length_bp	gene	EC_number	COG	product
IKAIPODG_00001	CDS	756	modA		COG0725	Molybdate-binding protein ModA
IKAIPODG_00002	CDS	687	modB		COG4149	Molybdenum transport system permease protein ModB
IKAIPODG_00003	CDS	1086	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
IKAIPODG_00004	CDS	828				hypothetical protein
IKAIPODG_00005	CDS	888	dmlR_1			HTH-type transcriptional regulator DmlR
IKAIPODG_00006	CDS	828				hypothetical protein
IKAIPODG_00007	CDS	108				hypothetical protein
IKAIPODG_00008	CDS	924	yedI		COG2354	Inner membrane protein YedI
IKAIPODG_00009	CDS	1443	ccoN1_1	1.9.3.1	COG3278	Cbb3-type cytochrome c oxidase subunit CcoN1
IKAIPODG_00010	CDS	222				hypothetical protein
IKAIPODG_00011	CDS	1158				hypothetical protein
IKAIPODG_00012	CDS	864	hdfR_1			HTH-type transcriptional regulator HdfR
IKAIPODG_00013	CDS	276				hypothetical protein
IKAIPODG_00014	CDS	1206				hypothetical protein
IKAIPODG_00015	CDS	1005	rhaS_1			HTH-type transcriptional activator RhaS
IKAIPODG_00016	CDS	243				hypothetical protein
IKAIPODG_00017	CDS	1170	rfnT_1			Riboflavin transporter RfnT
IKAIPODG_00018	CDS	585	nfuA		COG0316	Fe/S biogenesis protein NfuA
IKAIPODG_00019	CDS	2289				hypothetical protein
IKAIPODG_00020	CDS	519				hypothetical protein
IKAIPODG_00021	CDS	465				hypothetical protein
IKAIPODG_00022	CDS	3705	metH	2.1.1.13	COG0646	Methionine synthase
IKAIPODG_00023	CDS	363			COG3171	putative protein
IKAIPODG_00024	CDS	486	proX		COG3760	Prolyl-tRNA editing protein ProX
IKAIPODG_00025	CDS	303				hypothetical protein
IKAIPODG_00026	CDS	1041	rlmN_1	2.1.1.192		Dual-specificity RNA methyltransferase RlmN
IKAIPODG_00027	CDS	228				hypothetical protein
IKAIPODG_00028	CDS	117				hypothetical protein
IKAIPODG_00029	CDS	1659	sir_1	1.8.7.1	COG0155	Sulfite reductase [ferredoxin]
IKAIPODG_00030	CDS	498				hypothetical protein
IKAIPODG_00031	CDS	582				hypothetical protein
IKAIPODG_00032	CDS	438				hypothetical protein
IKAIPODG_00033	CDS	876				hypothetical protein
IKAIPODG_00034	CDS	993	yhfP	1.6.5.-	COG0604	Putative quinone oxidoreductase YhfP
IKAIPODG_00035	CDS	1026	sohB	3.4.21.-	COG0616	putative protease SohB
IKAIPODG_00036	CDS	711				hypothetical protein
IKAIPODG_00037	CDS	315				hypothetical protein
IKAIPODG_00038	CDS	1071				hypothetical protein
IKAIPODG_00039	CDS	768	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
IKAIPODG_00040	CDS	762	fabG_2	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
IKAIPODG_00041	CDS	906	benM_1			HTH-type transcriptional regulator BenM
IKAIPODG_00042	CDS	645				hypothetical protein
IKAIPODG_00043	CDS	780	yfcA		COG0730	putative membrane transporter protein YfcA
IKAIPODG_00044	CDS	837	nudC_1	3.6.1.22	COG2816	NADH pyrophosphatase
IKAIPODG_00045	CDS	1689				hypothetical protein
IKAIPODG_00046	CDS	813	crt_1	4.2.1.150	COG1024	Short-chain-enoyl-CoA hydratase
IKAIPODG_00047	CDS	1503	nhaB		COG3067	Na(+)/H(+) antiporter NhaB
IKAIPODG_00048	CDS	1356	adiC		COG0531	Arginine/agmatine antiporter
IKAIPODG_00049	CDS	2256	adiA	4.1.1.19	COG1982	Biodegradative arginine decarboxylase
IKAIPODG_00050	CDS	390				hypothetical protein
IKAIPODG_00051	CDS	741	dnaQ	2.7.7.7	COG0847	DNA polymerase III subunit epsilon
IKAIPODG_00052	CDS	447	rnhA	3.1.26.4	COG0328	Ribonuclease HI
IKAIPODG_00053	CDS	762				hypothetical protein
IKAIPODG_00054	CDS	777	gloB_1	3.1.2.6	COG0491	Hydroxyacylglutathione hydrolase GloB
IKAIPODG_00055	CDS	1605	mltD	4.2.2.-	COG0741	Membrane-bound lytic murein transglycosylase D
IKAIPODG_00056	CDS	1830				hypothetical protein
IKAIPODG_00057	CDS	1848				hypothetical protein
IKAIPODG_00058	CDS	1083	yejB_1		COG4174	Inner membrane ABC transporter permease protein YejB
IKAIPODG_00059	CDS	1020	yejE_1		COG4239	Inner membrane ABC transporter permease protein YejE
IKAIPODG_00060	CDS	1611	yejF_1		COG4172	putative ABC transporter ATP-binding protein YejF
IKAIPODG_00061	CDS	798	fabI	1.3.1.9	COG0623	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
IKAIPODG_00062	CDS	1866	ppiD	5.2.1.8	COG0760	Peptidyl-prolyl cis-trans isomerase D
IKAIPODG_00063	tRNA	77				tRNA-Asp(gtc)
IKAIPODG_00064	CDS	273	hupB_1		COG0776	DNA-binding protein HU-beta
IKAIPODG_00065	CDS	2397	lon_1	3.4.21.53	COG0466	Lon protease
IKAIPODG_00066	CDS	1281	clpX_1		COG1219	ATP-dependent Clp protease ATP-binding subunit ClpX
IKAIPODG_00067	CDS	642	clpP_1	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
IKAIPODG_00068	CDS	1311	tig	5.2.1.8	COG0544	Trigger factor
IKAIPODG_00069	CDS	708	rstA		COG0745	Transcriptional regulatory protein RstA
IKAIPODG_00070	CDS	1287	rstB	2.7.13.3		Sensor protein RstB
IKAIPODG_00071	CDS	1851	dap	3.4.11.19		D-aminopeptidase
IKAIPODG_00072	CDS	117				hypothetical protein
IKAIPODG_00073	CDS	222				hypothetical protein
IKAIPODG_00074	tRNA	76				tRNA-His(gtg)
IKAIPODG_00075	tRNA	85				tRNA-Leu(tag)
IKAIPODG_00076	tRNA	76				tRNA-His(gtg)
IKAIPODG_00077	tRNA	77				tRNA-Arg(tct)
IKAIPODG_00078	CDS	855	folD		COG0190	Bifunctional protein FolD protein
IKAIPODG_00079	CDS	1383	cysS	6.1.1.16	COG0215	Cysteine--tRNA ligase
